Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
AD	AD	AD	GB	15.09464098	15.09464098
AO	AO	AO	GB	2.92327853	2.92E+00
AI	AI	AI	GB	3.730575202	3.730575202
AG	AG	AG	GB	3.60810155	0
AR	AR	AR	GB	7.833587012	7.833587012
AU	AU	AU	GB	22687.19385	1.84E+04
US	BE	AU	GB	17.87564767	14.5196473
CA	BM	AU	GB	248.029359	2.01E+02
BR	BR	AU	GB	7.486631016	6.081079905
CA	CA	AU	GB	61.86671921	50.25177041
n.a.	KY	AU	GB	1.256732496	1.02079169
n.a.	HK	AU	GB	2.567580855	2.085539452
CN	CN	AU	GB	89.1456437	72.40930952
n.a.	CY	AU	GB	1.234567901	1.002788309
FI	FI	AU	GB	0.709638554	0.576409969
FR	FR	AU	GB	318.1785895	258.4432735
DE	DE	AU	GB	2.346260985	1.905770499
IN	IN	AU	GB	0.520833333	0.423051318
JP	JP	AU	GB	68.98004983	56.02963388
AU	JY	AU	GB	6.981409971	5.670709802
CH	JY	AU	GB	0.888070391	0.72134275
n.a.	JY	AU	GB	1.03626943	0.841718684
n.a.	LU	AU	GB	1.776140782	1.442685501
MY	MY	AU	GB	1.516138707	1.231496598
NL	NL	AU	GB	0.259067358	0.210429671
n.a.	NL	AU	GB	0.259067358	0.210429671
NZ	NZ	AU	GB	62.77784398	50.99183927
SG	SG	AU	GB	11.15499701	9.060741473
ZA	ZA	AU	GB	6.696725511	5.44E+00
CH	CH	AU	GB	4.404145078	3.577304407
AE	AE	AU	GB	5.511111111	4.476447011
ZA	GB	AU	GB	24.68966684	20.05439249
GB	GB	AU	GB	120.5986617	97.95729169
US	GB	AU	GB	0.790852353	6.42E-01
n.a.	GB	AU	GB	6.796684493	5.520664956
US	US	AU	GB	593.9135481	482.4113456
n.a.	VG	AU	GB	0.812819329	0.660219434
n.a.	n.a.	AU	GB	1.388888889	1.128136847
AT	AT	AT	GB	1049.217753	2820.099584
BR	BR	AT	GB	3.298611111	8.866045006
CA	CA	AT	GB	42.71457086	114.8087164
CN	CN	AT	GB	10.64188042	28.603369
n.a.	CY	AT	GB	0.520833333	1.399901843
DK	DK	AT	GB	0.259067358	0.696324233
FR	FR	AT	GB	31.60113789	84.93790307
DE	DE	AT	GB	31.30750986	84.14868624
IT	IT	AT	GB	0.733975985	1.972789122
JP	JP	AT	GB	23.15369261	62.23276217
GB	JY	AT	GB	63.64504468	171.0658855
DE	LI	AT	GB	1.46795197	3.945578244
n.a.	LI	AT	GB	0.29751599	0.799666911
n.a.	NL	AT	GB	1.234567901	3.31828585
RU	RU	AT	GB	1.03626943	2.785296931
SG	SG	AT	GB	30.66392882	82.41886169
ZA	ZA	AT	GB	364.4190766	979.489799
SE	SE	AT	GB	0.399201597	1.072978658
CH	CH	AT	GB	11.17764471	30.04340243
TR	TR	AT	GB	2.395209581	6.437871949
AE	AE	AT	GB	0.314859438	0.84628283
n.a.	GB	AT	GB	0.889801506	2.39E+00
US	US	AT	GB	5.788423154	15.55819054
CL	BS	BS	GB	16.69658887	9.382243872
FR	BS	BS	GB	2115.978808	1189.023061
PT	BS	BS	GB	10.88082902	6.114218429
GB	BS	BS	GB	271.2759376	152.4369452
US	BS	BS	GB	23.77036179	13.3571793
n.a.	BS	BS	GB	136.7589138	76.84836053
n.a.	BM	BS	GB	2.528616215	2.781230702
BR	BR	BS	GB	9.581868974	5.384299282
CA	CA	BS	GB	0.205338809	0.115385172
CN	CN	BS	GB	0.30617284	0.172046414
KW	KW	BS	GB	0.592046927	0.332686437
NL	MT	BS	GB	82.88770053	46.57673651
NO	MH	BS	GB	4.592592593	2.580696216
n.a.	PA	BS	GB	0.199600798	0.112160836
n.a.	GB	BS	GB	0.259067358	0.145576629
US	US	BS	GB	185.313911	104.1326656
GB	VG	BS	GB	18.18960412	10.22120764
BH	BH	BH	GB	34.45206204	0
n.a.	JY	BH	GB	2.469135802	0
LY	LY	BH	GB	288.0903491	0
SA	SA	BH	GB	388.4325804	0
BD	BD	BD	GB	22.7926078	22.7926078
BB	BB	BB	GB	7.118412047	7.118412047
n.a.	BB	BB	GB	4.099752573	4.099752573
CA	CA	BB	GB	14.03756609	14.03756609
CN	CN	BB	GB	16.41018632	1.64E+01
GB	GB	BB	GB	1706.244759	1706.244759
US	US	BB	GB	33.62826547	33.62826547
BY	BY	BY	GB	42.53472222	42.53472222
AU	AU	BE	GB	170.2824285	501.7039757
BE	BE	BE	GB	2465.333199	7263.623605
FR	BE	BE	GB	55.76768251	164.3086035
DE	BE	BE	GB	193.6409759	570.5253814
GR	BE	BE	GB	5.034722222	14.83382741
IT	BE	BE	GB	3.090434641	9.105363128
NO	BE	BE	GB	13.61707933	40.12006931
CH	BE	BE	GB	72.60981912	213.9306753
GB	BE	BE	GB	8.934550989	26.32391252
US	BE	BE	GB	101.0864236	297.8314382
n.a.	BE	BE	GB	179.316617	528.3214505
CA	CA	BE	GB	31.00193322	91.34115179
n.a.	KY	BE	GB	2.849740933	8.396206044
n.a.	HK	BE	GB	6.454941968	19.01822799
FR	FR	BE	GB	2979.523267	8778.584388
DE	DE	BE	GB	12.06178727	35.53770449
GB	GG	BE	GB	2.794411178	8.233187708
IS	IS	BE	GB	0.590697491	1.740374989
IN	IN	BE	GB	1.837037037	5.412471462
US	IE	BE	GB	13.57285429	39.98976887
JP	JP	BE	GB	207.0955204	610.1665734
GB	JY	BE	GB	6.18762475	18.23062993
KR	KR	BE	GB	2.083333333	6.138135479
BE	LU	BE	GB	2.225760521	6.557769419
FR	LU	BE	GB	18.31238779	53.95388026
IN	LU	BE	GB	7.584830339	22.34722378
US	LU	BE	GB	32.50031069	95.75582887
n.a.	LU	BE	GB	5.154108279	15.18557515
IT	NL	BE	GB	161.5331964	475.9260692
NL	NL	BE	GB	18.19797184	53.61677596
n.a.	NL	BE	GB	22.10867589	65.13890299
PT	PT	BE	GB	0.313293651	0.923058659
SE	SE	BE	GB	241.3206192	711.0041543
US	CH	BE	GB	398.2888433	1.17E+03
TH	TH	BE	GB	0.49382716	1.454965447
TR	TR	BE	GB	1.5625	4.603601609
GB	GB	BE	GB	140.8675428	415.03875
US	GB	BE	GB	42.20361914	124.3447354
n.a.	GB	BE	GB	0.06844627	0.201663589
US	US	BE	GB	3691.540532	10876.40444
n.a.	n.a.	BE	GB	4.799795612	14.14166195
BZ	BZ	BZ	GB	147.9408715	118.9748512
IS	IS	BZ	GB	6.326818824	5.088062014
n.a.	VG	BZ	GB	0.518134715	0.416686748
AU	AU	BM	GB	2973.336716	5833.709628
AU	BM	BM	GB	47.03770197	92.48072954
BR	BM	BM	GB	10.06160164	19.78209439
CA	BM	BM	GB	223.9141285	440.2371095
HK	BM	BM	GB	457.9894898	900.4521982
